,,
,,
216,Iterative Prediction of Si MOSFET Junction Temperature Using Fixed-Point Method with Temperature-Dependent Resistance,"Patil, Shivam; Sapkale, Yogendra; Raut, Durvankur; Deshpande, Ashish*"
243,A Novel Hybrid Modulation for Talkative Power Conversion with PR Controlled Grid Connected Five-Level Dual T-Type Inverter,"Rajender, Ch; A, Kirubakaran*"
,,
,,
,,
,,
CRC 5-2,ORAL PRESENTATION #2,"July 9, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
258,An Isolated Proportional Base Driver for BJTs used in Cell Equalization Circuits.,"MATHEW, JOSHUA*; Umanand, Loganathan"
263,Boost Converter Performance Analysis with Adaptive PI and LC Filtering,"Sarita, Kumari*; Pandey, Priya; Kyathasandra, Anand Kumar "
316,Submodule Redundancy Based Fault-Tolerant Control for Modular Multilevel Converters: A Comprehensive Review,"ANGURU, DEEPAK*; VEMPALI, BHUMA NAGA SATYA SAI; RONANKI, DEEPAK; SRINIVAS,  SRIRAMA"
367,Non-Isolated Coupled Inductor Based Boost  Converter With Optimized Structure,"Rathore, Vikas *"
383,Design and Analysis of a Free-wheeling type DC Solid State Circuit Breaker for Data Center Applications,"Srivastava, Vipul; Gouse Mohiddin, Mahammad*; Chakraborty, Surja Sekhar"
460,Switched Capacitor Based Single Switch High Gain DC-DC Converter for Heavy-Duty Electric Vehicles,"Prajapati, Ashish*; Singh, Aakash; Bharadwaj, Pallavi"
,,
,,
,,
,,
CRC 5-2,ORAL PRESENTATION #3,"July 10, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
611,Flywheel Energy Storage System for Electric Vehicle Infrastructure: Case-Study and Design,"Sengwa, Nikhil; Gawas, Deval; Sampathirao, Sashidhar*"
745,Experimental Validation of DC Voltage Recovery With Droop Control Behaviour in Inverter,"Garg, tapan; Yadav, Piyush*; yadav, ravi"
774,Performance Analysis of Bidirectional 3-Phase Switched Capacitor MLI for PMSM Drives,"Shetty, Anup*; Roy, Tapas"
775,"Electrolytic Capacitor-less, Split Capacitor Based Minimal Power Processing Single-Phase LED Driver","Pallapati, Ramesh*; Pallapati, Ramesh Babu"
833,Sensorless Direct Torque Control of Five-Phase Induction Motors Using Rotor Flux Observer for Electric Vehicle Propulsion,"Jaladi, Dr. Kiran Kumar*"
898,Novel Semi-Quadratic Buck-Boost Converter for Electric vehicle Applications,"Siva Rama Ganesh, Motepalli; sudha, R Pradeep *; SasiKumar, Dr. S. ;  Priyadarshini, Kota; Durgasi, Ms.Veda Varshita ; Peri, Ms.Lakshmi Aparajitha "
1604,An Improved Bidirectional Multi-Output Nine-Level Buck PFC Rectifier With Minimal Switch Count,"Koli, Ankush*; N, Sandeep; Tiwari, Harpal"
,,
,,
,,
,,
CRC 5-2,ORAL PRESENTATION #4,"July 10, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
902,A Modified Two Switch Enhanced Gain SEPIC (TSEGS) with Solar PV for Battery Charging,"Sannasy, Mageshwari*; Suraj , Satyam Kumar ; D, Ramya; S, Kanagalakshmi                                         "
911,Modular Multilevel Converter for EV Applications Based on Space Vector Pulse Width Modulation,"Pandey, Anuj; Ahmed, Irfan*; Sharma, Pooja"
957,Two Switch Extended Gain DC-DC Converter for Fuel Cell Electric Vehicle,"Bashir, Yasir*; Edpuganti, Amarendra"
984,Performance Optimization of Dual Active Bridge and Series Resonant DAB converter,"Priyadarshini, shipra*; Chakraborty, Surja Shekhar; Sahoo, Manoranjan"
1008,Comparative Study of Algorithms for PI Controller Tuning in SRM Using Split DC Converter,"Verma, Ekansh*; Misra, Himanshu"
1029,"1-D System Modeling and Performance Analysis of a Three- Stage, VSCF Generation System for Aerospace Applications","Vishwakarma, Vinod*; Shukla, Bhagvat; Meena, Shailendra; Thirumaran, KS Ezhil "
,,
,,
,,
,,
CRC 5-2,ORAL PRESENTATION #5,"July 10, 2026 | 04:30 PM to 06:00 PM"
Paper ID,Paper Title,Author Names
1037,IGBT based Three-Phase Inverter Design for Speed Control of BLDC Motor Operated Electrical Vehicle,"Kumar, Siddhyarth*; V. Hote, Yogesh"
1047,A Common-Ground High Step-Up DC–DC Converter Using Switched Inductor–Capacitor Networks,"Raj, Abhishek *"
1054,A New Inherent PFC Single-Stage Isolated AC/DC Converter,"Mohmmed*; Ahmad Dar, Jahangeer; Kumar Pathak, Mukesh; Singh, Bhim"
1062,Performance Evaluation of PI and Fuzzy Logic  Controllers for DC-Link Voltage Regulation in a Grid-Following PV Inverter,"Radhika, Goru*; G, Sasi Kumar; Kyadasi, Varun "
1065,Design and Analysis of Semi-isolated SIDO Flyback-boost Converter,"Thanvi, Somesh*; Gautam, Aditya R.; Vyas, Vedant"
1076, Dual Switch Ultra High Gain DC-DC Converters With Reduced Electric stresses for Fuel Cell Electric Vehicles,"Bashir, Yasir*; Edpuganti, Amarendra"
,,
,,
,,
,,
CRC 5-2,ORAL PRESENTATION #6,"July 11, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1077,Coordinated Torque Distribution for Efficiency Optimization in PMSM-based Series Cascaded Multi-Machine System for Electric Vehicles,"Bhati, Sachin*; Das, Shyama Prasad; Kant, Piyush"
1081,GA-based Stator Slot Optimization for Minimization of Torque Ripple in SCIM,"Sharma, Nitish*; Pathak, Mukesh Kumar"
1218,Design and Performance Comparison of Fractional Slot Concentrated Windings and Fractional Slot Overlapped Winding Interior Permanent Magnet Machines,"Gupta, Sagar*; Jain, Amit"
1419,Comparative Evaluation of Power and Inductor Current Characterstics of DAB Converter Using EPS and DPS Control Strategies,"Raja, Md Zishan*; Patel, Tejal ; Chudamani, R"
1473,Power and Inductor Current Analysis of Dual Active Bridge DC-DC Converter using Triple Phase shift Control,"PATEL, TEJAL*; R, Chudamani; Raja, MD Zishan"
1499,Modeling and Control of a Segmented Double-sided Linear Induction Motor,"Kukade, Piyusha; Surana, Prashant*; Dey, Anubrata; Shankar Bhagat, Abhishek; Roy, Kathika"
,,
,,
,,
,,
CRC 5-3,ORAL PRESENTATION #1,"July 9, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1505,A Single-Stage Grid-tied SPV System Using Fractional-Order LMF Control for Power Quality Enhancement Under Nonlinear Load Conditions,"SAHOO, SUDHIR KUMAR*; Panda, Anup Kumar ; Behera, Satyabrata "
1516,A Waveshaper-based Multilevel Bidirectional Converter for Medium-Voltage Induction Motor Drives,"Chakraborty, Shuvam*; Maiti, Suman; Panda, Saswat"
1524,"Design and Performance Analysis of Vector Controlled PMSM Drives using PI, Integral SMC, and AGSTA-Based Speed Controllers","Kakodia, Dr. Sanjay*; Edpuganti,  Amarendra; Dyanamina, Giribabu"
1529,Enhanced PR Controller for Three-Phase Active Front End Rectifier in Wireless Charging,"Mishra, Rajeshwar*; Kumar, S. Shiva; Alam, Aftab"
1533,Design and Experimental Validation of a Mamdani Fuzzy Logic Controlled Cascaded Buck Converter,"Kawate, Onkar; Mohan U, Greeshma*"
1554,Modeling and Performance Analysis of Electric Vehicle Powertrain for Various Drive Cycles with Charging While Driving Capability,"Chauhan, Dr. Siddharthsingh Kamaljitsingh*; Hirani, Kartik; Shah, Manisha; Tekwani, P. N. "
,,
,,
,,
,,
CRC 5-3,ORAL PRESENTATION #2,"July 9, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
1618,Harmonic Controllability and Feasibility Limits Using Two Switching Angles,"Kalkal, pratik*; Arefifar, Seyed Ali "
1621,Robust Performance Evaluation and Comparative Analysis of Metaheuristic-Tuned FOC PMSM Drives under Diverse Dynamic Conditions,"Thasale, Shubham*"
1624,Seamless Wide-Speed Sensorless Control of a PMaSynRM Drive Using Hybrid HFSI–ASTSMO Estimation for SPV–Battery-Fed LEV Application,"Kumar, Sushant*; Kumar, Shailendra ; Kurm, Shashank; Sharma, Utkarsh"
1647,A Non-Isolated LCD-Cell Based Quadratic Boost Converter,"KRUPAKAR, VARIPALLI*; Subudhi, Bidyadhar; Narasimharaju, B L"
1651,A Novel Equivalent Circuit of DAB Converter to Investigate Current Stress and ZVS Range,"N, Sugumar*; Sarkar, Indrajit"
1665,Experimental Study of a Fault-Tolerant Multilevel Inverter for Solar Pump Drives,"RAO, M.NARASIMHA*; AIRINENI, MADHUKAR RAO; N, KARTHICK"
,,
,,
,,
,,
CRC 5-3,ORAL PRESENTATION #3,"July 10, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1674,Grid Based Optimal Power Monitoring Of Wireless Charging System for EV,"KARTHIK, S ROHAN*; Kumar G, Mohan ; PS, Tushar; N, Shreyas ; Savitha,  P B "
1697,Fault Detection and Isolation of Quadruplex PMSM motor using Model Predictive Control,"K.M, Divya*; Kaarthik, R. Sudharshan "
1708,Harmonic Elimination at Point of Common Coupling (PCC) with Switching angle Correction in Cascaded H Bridge Multilevel Inverters,"Kumar, Shubham*; Teja, A.V. Ravi"
1730,An ANN-based Open-Circuit Switch Fault Detection Method for Open-End Winding AC Motor Drives ,"Rao Dasari, Siva*; V T , Somasekhar"
1768,Optimized Location of BESS-SC Energy Storage System for Grid Inertia Support under High Wind Penetration,"M R, Siddappaji; Vasantha Gowri, N; Agarwal, Abhishek ; Shanmugasundaram, V; Sukhi, Y; Honnurvali, Mohamed Shaik; Rajagopal Reddy, B; Alazzam, Malik Bader ; Kandi, Bhanu Prakash*"
1790,T-Type Converter-based single-phase Universal Onboard Charger with V2X Capabilities,"SINGH, VISHRUTI*; Raveendhra, Dogga"
1792,Integrated Planar Magnetics based LLC Resonant Converter using Asymmetrical Imbalanced Winding Technique,"Rasheed, Syed; Sathyan, Shelas*; V. Kurup, Harikesh"
,,
,,
,,
,,
CRC 5-3,ORAL PRESENTATION #4,"July 10, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
196,LOADING EFFECT OF ELECTRIC VEHICLE FAST CHARGING STATION  ON THE GRID SIDE  ,"Borkar, Aniket*; Satputaley, Rajshri; Manmadharao, S"
228,Nash Equilibria in Gaussian-Populated Hotelling Games for Electric Vehicle Charging Stations,"Gupta, Ajay*; Agarwal, Kanika ; Yadav, Rajni "
765,Optimal Control of a DAB Converter for Hybrid Solar–Grid EV Charging with LKAF-Based DQ Control for Power Quality Enhancement,"Kumar Bhaskar, Gulshan;  Kumar, Shailendra; Murari, Krishna*; Hasan, Md Shamim; Kamalasadan, Sukumar"
790,Decoupled Control Strategy for a Three-Phase Five Level Bidirectional SC-ANPC Grid-Connected  Converter with a Pre-Regulator Chopper,"Bhanuchandar, Aratipamula*"
963,A Logit–Inertia Enhanced Dynamic Equilibrium Framework for Power and Transportation Networks,"Sharma, Kailash*"
981,Application of V2H to Mitigate Distribution Transformer Deterioration from EV Charging Loads,"Singh, Satya*; Rather, Zakir"
,,
,,
,,
,,
CRC 5-3,ORAL PRESENTATION #5,"July 10, 2026 | 04:30 PM to 06:00 PM"
Paper ID,Paper Title,Author Names
985,Integration of Electric Vehicle Charging Station and Optimal DG Placement Considering Real Power Loss Minimization in Radial Distribution System,"KUMAR, VINOD*; Mathur, Akhilesh; Singh, V. P.; Meena, R. S."
1003,An Unified Active Equalizer Circuit For Simultaneous Cell to Cell and Module to Module Voltage Balancing in a Battery Pack,"Pradhan, Soumya Ranjan; Bara, David Mathias*; Sahoo, Manoranjan "
1005,Robust Control Design and Performance Evaluation of a Grid-Connected Bidirectional SPAR–DAB EV Charger for G2V and V2G Applications,"Kumar, Rohit*; Subudhi, Bidyadhar; Naik N, Venkata Ramana"
1451,A Series–Series–Series Compensated Charge-Controlled Integrated Wireless EV Charger with Auxiliary Power Supply,"Naramu, Avinash*; Wandhare, Rupesh"
1494,SVSS-LMS Adaptive Control for PV-EV Charging Station with Residential Load Integration and Grid Support,"Pandey, Shishupal*; GhatakChoudhuri, Sumit"
1502,Analysis of Event-Triggered Sliding Mode Control in Solar-Powered EV Charging Systems,"Borker, Animesh*; MANDADHI, VENKATESWARLU; Panda, Rakesh Kumar; Gangolu, Suryanarayana"
,,
,,
,,
,,
CRC 5-3,ORAL PRESENTATION #6,"July 11, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1493,Optimal Lithium-Ion Battery Charging Using Hildreth-based Constrained Model Predictive Control,"Acharya, Swastik ; Guha, Arijit*; Naskar, Asim Kumar ; Routh, Bikky "
1495,Design and Simulation of a Hybrid DC Microgrid for EV Charging Applications,"Purohit, Pranati*; Mishra, Shaswat; Ghosh, Arnab; Ray, Pravat Kumar"
1546,Performance Enhancement of a DFIG-Based Wind Farm Using Optimally Tuned PI Controllers,"Bhukya, Jawaharlal*; Shende , Souren "
